text,label
I feel anxious and overwhelmed. to be honest.,negative
This is one of the worst days recently.,negative
I'm frustrated and tired of everything. these days.,negative
This is the best day I've had in a long time.,positive
I don't feel strongly about anything right now.,neutral
I feel lonely and hopeless. these days.,negative
I'm laughing and smiling a lot today. right now.,positive
Everything feels heavy and stressful. at the moment.,negative
"Today was okay, nothing special. honestly.",neutral
Everything is working out perfectly. today.,positive
This is the best day I've had in a long time. these days.,positive
I'm excited and full of energy. at the moment.,positive
Things are stable and unchanged. lately.,neutral
I'm laughing and smiling a lot today. I guess.,positive
I feel kind of neutral. today.,neutral
Everything feels heavy and stressful. today.,negative
I'm sad and losing motivation. right now.,negative
It was an average day for me. right now.,neutral
I feel lonely and hopeless. I think.,negative
Everything feels heavy and stressful.,negative
I don't feel strongly about anything right now. to be honest.,neutral
"I'm feeling normal, not too good, not too bad. honestly.",neutral
I feel fantastic today! I think.,positive
I'm really happy with how things are going.,positive
I'm excited and full of energy. I guess.,positive
Life is good and I'm grateful.,positive
Things are improving for me.,positive
I'm laughing and smiling a lot today. today.,positive
I feel terrible today. these days.,negative
Nothing is going right and it's draining. at the moment.,negative
"Today was okay, nothing special. today.",neutral
"I'm feeling normal, not too good, not too bad. at the moment.",neutral
I feel confident and motivated. today.,positive
I'm excited and full of energy.,positive
Life feels really difficult right now. today.,negative
I'm frustrated and tired of everything. honestly.,negative
I'm really happy with how things are going. honestly.,positive
I'm sad and losing motivation. honestly.,negative
I feel fantastic today! today.,positive
Things are improving for me. these days.,positive
Life is good and I'm grateful. honestly.,positive
Everything is working out perfectly. I think.,positive
Everything feels heavy and stressful. these days.,negative
This is one of the worst days recently. lately.,negative
I'm really happy with how things are going. honestly.,positive
Life feels really difficult right now. at the moment.,negative
I feel supported and appreciated. at the moment.,positive
I'm sad and losing motivation. these days.,negative
Nothing major on my mind right now. I think.,neutral
I'm laughing and smiling a lot today. at the moment.,positive
Things are stable and unchanged. honestly.,neutral
Everything feels heavy and stressful. right now.,negative
I'm sad and losing motivation. to be honest.,negative
Nothing major on my mind right now. lately.,neutral
Everything is working out perfectly. at the moment.,positive
I feel kind of neutral. I guess.,neutral
This is one of the worst days recently. right now.,negative
Nothing is going right and it's draining.,negative
It was an average day for me. lately.,neutral
It was an average day for me. honestly.,neutral
It was an average day for me. I guess.,neutral
I feel lonely and hopeless. these days.,negative
I feel anxious and overwhelmed. today.,negative
Things are stable and unchanged. I think.,neutral
This is the best day I've had in a long time. lately.,positive
Life feels really difficult right now. at the moment.,negative
Nothing major on my mind right now. I think.,neutral
I feel kind of neutral. today.,neutral
It was an average day for me. I think.,neutral
Everything feels heavy and stressful. right now.,negative
Life feels really difficult right now. honestly.,negative
Life is good and I'm grateful. honestly.,positive
I feel supported and appreciated. right now.,positive
This is one of the worst days recently. lately.,negative
I feel supported and appreciated. at the moment.,positive
I feel kind of neutral. at the moment.,neutral
Life feels really difficult right now. honestly.,negative
Nothing is going right and it's draining. these days.,negative
Everything is working out perfectly. to be honest.,positive
Nothing major on my mind right now. today.,neutral
I'm frustrated and tired of everything. honestly.,negative
Life feels really difficult right now. lately.,negative
I'm laughing and smiling a lot today. I think.,positive
I feel ignored and unimportant. today.,negative
Nothing major on my mind right now. to be honest.,neutral
I feel supported and appreciated. lately.,positive
I feel kind of neutral. to be honest.,neutral
Nothing major on my mind right now. I think.,neutral
It was an average day for me. I think.,neutral
Nothing major on my mind right now. right now.,neutral
I'm frustrated and tired of everything.,negative
It was an average day for me. these days.,neutral
Everything is working out perfectly. I guess.,positive
Things are improving for me. to be honest.,positive
This is the best day I've had in a long time. these days.,positive
Life feels really difficult right now. I think.,negative
"I'm feeling normal, not too good, not too bad. honestly.",neutral
Nothing major on my mind right now. at the moment.,neutral
I feel ignored and unimportant. I guess.,negative
Everything feels heavy and stressful. today.,negative
I'm frustrated and tired of everything. I guess.,negative
Life feels really difficult right now. to be honest.,negative
I feel terrible today. these days.,negative
Nothing much happened today. right now.,neutral
It's just a regular day. lately.,neutral
Nothing is going right and it's draining.,negative
Nothing is going right and it's draining. I think.,negative
"I'm feeling normal, not too good, not too bad. honestly.",neutral
It was an average day for me. today.,neutral
I feel fantastic today! I think.,positive
Everything feels heavy and stressful. at the moment.,negative
I'm laughing and smiling a lot today. I think.,positive
This is one of the worst days recently. lately.,negative
Nothing major on my mind right now. at the moment.,neutral
"I'm feeling normal, not too good, not too bad. right now.",neutral
I'm just going through the day. honestly.,neutral
It was an average day for me. these days.,neutral
I feel supported and appreciated. today.,positive
I'm frustrated and tired of everything. honestly.,negative
This is the best day I've had in a long time. lately.,positive
I'm frustrated and tired of everything. lately.,negative
Nothing much happened today. today.,neutral
Everything feels heavy and stressful. these days.,negative
Life feels really difficult right now.,negative
Things are improving for me. to be honest.,positive
I feel ignored and unimportant. honestly.,negative
I'm excited and full of energy. I think.,positive
I don't feel strongly about anything right now. lately.,neutral
I'm just going through the day. lately.,neutral
Life is good and I'm grateful. today.,positive
I'm sad and losing motivation. lately.,negative
This is one of the worst days recently. at the moment.,negative
"Today was okay, nothing special. right now.",neutral
Nothing major on my mind right now. to be honest.,neutral
Nothing major on my mind right now. I guess.,neutral
Things are improving for me. at the moment.,positive
Nothing much happened today. right now.,neutral
Things are stable and unchanged. today.,neutral
I feel terrible today.,negative
Nothing major on my mind right now.,neutral
I'm laughing and smiling a lot today. honestly.,positive
I'm excited and full of energy. lately.,positive
Nothing is going right and it's draining. right now.,negative
Things are stable and unchanged. today.,neutral
"I'm feeling normal, not too good, not too bad. today.",neutral
I'm just going through the day. lately.,neutral
I feel anxious and overwhelmed. at the moment.,negative
I'm sad and losing motivation. to be honest.,negative
It's just a regular day. right now.,neutral
Life is good and I'm grateful.,positive
Life feels really difficult right now.,negative
I feel terrible today. at the moment.,negative
Nothing much happened today. to be honest.,neutral
"I'm feeling normal, not too good, not too bad. I guess.",neutral
Life is good and I'm grateful. I think.,positive
I don't feel strongly about anything right now. I think.,neutral
It's just a regular day. lately.,neutral
Nothing much happened today. right now.,neutral
I feel lonely and hopeless. I guess.,negative
"I'm feeling normal, not too good, not too bad. today.",neutral
I'm frustrated and tired of everything. right now.,negative
Everything is working out perfectly. honestly.,positive
This is one of the worst days recently. lately.,negative
Everything feels heavy and stressful. honestly.,negative
I don't feel strongly about anything right now. right now.,neutral
Everything feels heavy and stressful. today.,negative
I'm really happy with how things are going. these days.,positive
I feel kind of neutral. at the moment.,neutral
I feel ignored and unimportant. right now.,negative
I feel kind of neutral. honestly.,neutral
Things are improving for me. at the moment.,positive
I feel terrible today. at the moment.,negative
This is the best day I've had in a long time. I guess.,positive
I feel lonely and hopeless. honestly.,negative
I'm laughing and smiling a lot today. honestly.,positive
It was an average day for me. I think.,neutral
I'm really happy with how things are going. today.,positive
Everything is working out perfectly. these days.,positive
It was an average day for me. lately.,neutral
I'm laughing and smiling a lot today. today.,positive
"Today was okay, nothing special.",neutral
This is one of the worst days recently. today.,negative
Nothing much happened today. to be honest.,neutral
I feel anxious and overwhelmed. these days.,negative
I'm really happy with how things are going. right now.,positive
I'm just going through the day. today.,neutral
Life feels really difficult right now. right now.,negative
I'm sad and losing motivation. honestly.,negative
This is one of the worst days recently. today.,negative
Things are improving for me. honestly.,positive
I'm really happy with how things are going. today.,positive
Nothing major on my mind right now.,neutral
I'm just going through the day. today.,neutral
I feel lonely and hopeless. right now.,negative
I'm laughing and smiling a lot today. these days.,positive
I feel lonely and hopeless. right now.,negative
I'm excited and full of energy. honestly.,positive
I feel anxious and overwhelmed.,negative
I feel fantastic today! I think.,positive
I feel anxious and overwhelmed. lately.,negative
Life is good and I'm grateful. right now.,positive
It's just a regular day. lately.,neutral
I feel ignored and unimportant. I guess.,negative
This is the best day I've had in a long time.,positive
I'm excited and full of energy. honestly.,positive
Nothing much happened today. lately.,neutral
I'm really happy with how things are going. honestly.,positive
Everything is working out perfectly. today.,positive
Things are improving for me. I think.,positive
I feel fantastic today! today.,positive
I'm excited and full of energy. lately.,positive
I feel anxious and overwhelmed.,negative
I don't feel strongly about anything right now. I guess.,neutral
I feel supported and appreciated. honestly.,positive
I'm just going through the day. I guess.,neutral
Everything is working out perfectly. honestly.,positive
I feel ignored and unimportant. I guess.,negative
I don't feel strongly about anything right now. at the moment.,neutral
Nothing is going right and it's draining. today.,negative
"Today was okay, nothing special. to be honest.",neutral
Everything is working out perfectly. at the moment.,positive
This is the best day I've had in a long time. today.,positive
Nothing is going right and it's draining. lately.,negative
I don't feel strongly about anything right now. I guess.,neutral
Things are improving for me.,positive
Everything is working out perfectly. honestly.,positive
Everything is working out perfectly. today.,positive
I feel fantastic today! honestly.,positive
Things are stable and unchanged. I guess.,neutral
I'm excited and full of energy. I think.,positive
This is the best day I've had in a long time. honestly.,positive
Life is good and I'm grateful. lately.,positive
I'm laughing and smiling a lot today. I guess.,positive
Nothing is going right and it's draining. today.,negative
Nothing is going right and it's draining. right now.,negative
Everything is working out perfectly. at the moment.,positive
This is one of the worst days recently. I think.,negative
I feel confident and motivated. to be honest.,positive
Nothing is going right and it's draining. at the moment.,negative
I'm excited and full of energy. these days.,positive
"Today was okay, nothing special. lately.",neutral
Things are improving for me. lately.,positive
I feel anxious and overwhelmed. at the moment.,negative
I'm really happy with how things are going. these days.,positive
I feel anxious and overwhelmed. right now.,negative
Life feels really difficult right now. these days.,negative
Nothing major on my mind right now. to be honest.,neutral
Everything feels heavy and stressful. to be honest.,negative
I'm excited and full of energy. honestly.,positive
I feel fantastic today! these days.,positive
I feel anxious and overwhelmed. these days.,negative
I feel ignored and unimportant. to be honest.,negative
I feel lonely and hopeless. these days.,negative
I'm laughing and smiling a lot today. lately.,positive
Life is good and I'm grateful. at the moment.,positive
It's just a regular day. I guess.,neutral
I don't feel strongly about anything right now.,neutral
Life feels really difficult right now. lately.,negative
"I'm feeling normal, not too good, not too bad. these days.",neutral
I feel anxious and overwhelmed. today.,negative
Everything is working out perfectly. these days.,positive
I'm sad and losing motivation. these days.,negative
I don't feel strongly about anything right now. right now.,neutral
Everything is working out perfectly. to be honest.,positive
I'm just going through the day.,neutral
I'm laughing and smiling a lot today.,positive
Everything feels heavy and stressful. today.,negative
Life is good and I'm grateful. I guess.,positive
"I'm feeling normal, not too good, not too bad. at the moment.",neutral
I feel ignored and unimportant. lately.,negative
I'm sad and losing motivation. these days.,negative
Things are stable and unchanged. today.,neutral
I'm laughing and smiling a lot today. I guess.,positive
I'm just going through the day. lately.,neutral
Things are improving for me. right now.,positive
I feel kind of neutral.,neutral
I feel supported and appreciated.,positive
"I'm feeling normal, not too good, not too bad. today.",neutral
It was an average day for me. to be honest.,neutral
I'm frustrated and tired of everything. today.,negative
This is one of the worst days recently. right now.,negative
It was an average day for me. these days.,neutral
Everything feels heavy and stressful. I think.,negative
I feel fantastic today! I think.,positive
This is the best day I've had in a long time. these days.,positive
I feel kind of neutral. today.,neutral
I'm frustrated and tired of everything.,negative
I feel ignored and unimportant. today.,negative
I don't feel strongly about anything right now.,neutral
It was an average day for me. these days.,neutral
Things are improving for me. lately.,positive
I feel anxious and overwhelmed. I think.,negative
Everything feels heavy and stressful.,negative
I don't feel strongly about anything right now.,neutral
I'm just going through the day. I guess.,neutral
Things are stable and unchanged. I think.,neutral
I feel fantastic today! I think.,positive
Nothing major on my mind right now. lately.,neutral
Everything is working out perfectly. I think.,positive
I feel confident and motivated. to be honest.,positive
I feel ignored and unimportant. to be honest.,negative
"I'm feeling normal, not too good, not too bad. I think.",neutral
I'm just going through the day. honestly.,neutral
I feel ignored and unimportant. today.,negative
Things are improving for me. right now.,positive
"Today was okay, nothing special.",neutral
It was an average day for me. at the moment.,neutral
Nothing major on my mind right now. I think.,neutral
Things are improving for me. honestly.,positive
Everything feels heavy and stressful. these days.,negative
Everything feels heavy and stressful. at the moment.,negative
I'm just going through the day. at the moment.,neutral
I feel terrible today. at the moment.,negative
This is one of the worst days recently. today.,negative
It's just a regular day. to be honest.,neutral
Nothing much happened today. honestly.,neutral
Life is good and I'm grateful. these days.,positive
Nothing major on my mind right now. right now.,neutral
I feel kind of neutral.,neutral
It's just a regular day. at the moment.,neutral
It was an average day for me. I guess.,neutral
Everything is working out perfectly. right now.,positive
Life is good and I'm grateful. these days.,positive
I feel kind of neutral. at the moment.,neutral
I feel confident and motivated. I think.,positive
I'm frustrated and tired of everything. today.,negative
I feel terrible today. these days.,negative
"I'm feeling normal, not too good, not too bad.",neutral
I'm just going through the day. these days.,neutral
Everything feels heavy and stressful.,negative
I feel terrible today. honestly.,negative
I feel ignored and unimportant. I guess.,negative
I feel anxious and overwhelmed. at the moment.,negative
I don't feel strongly about anything right now.,neutral
I'm laughing and smiling a lot today. I guess.,positive
I'm excited and full of energy. lately.,positive
Things are improving for me. honestly.,positive
I'm really happy with how things are going. today.,positive
It's just a regular day. lately.,neutral
Everything is working out perfectly. lately.,positive
I feel ignored and unimportant. to be honest.,negative
"I'm feeling normal, not too good, not too bad.",neutral
I'm just going through the day. honestly.,neutral
Nothing much happened today. lately.,neutral
Nothing major on my mind right now. to be honest.,neutral
I'm really happy with how things are going. I think.,positive
Things are stable and unchanged. honestly.,neutral
This is the best day I've had in a long time. lately.,positive
I'm frustrated and tired of everything.,negative
"I'm feeling normal, not too good, not too bad. today.",neutral
This is one of the worst days recently. right now.,negative
I'm frustrated and tired of everything. these days.,negative
I don't feel strongly about anything right now. at the moment.,neutral
"Today was okay, nothing special. lately.",neutral
Nothing major on my mind right now. I guess.,neutral
I feel kind of neutral.,neutral
I don't feel strongly about anything right now. lately.,neutral
Nothing much happened today. I guess.,neutral
This is one of the worst days recently. to be honest.,negative
Nothing is going right and it's draining. today.,negative
I don't feel strongly about anything right now. I guess.,neutral
"I'm feeling normal, not too good, not too bad.",neutral
I feel ignored and unimportant. at the moment.,negative
I feel lonely and hopeless. I guess.,negative
Everything is working out perfectly. today.,positive
Things are improving for me. these days.,positive
I'm just going through the day. these days.,neutral
"Today was okay, nothing special. at the moment.",neutral
Nothing much happened today. I guess.,neutral
I feel lonely and hopeless.,negative
I feel confident and motivated. these days.,positive
I'm frustrated and tired of everything. I guess.,negative
It was an average day for me. I think.,neutral
I feel supported and appreciated. to be honest.,positive
Life is good and I'm grateful. lately.,positive
I'm excited and full of energy. right now.,positive
I don't feel strongly about anything right now. these days.,neutral
I'm just going through the day. lately.,neutral
Nothing is going right and it's draining. to be honest.,negative
This is one of the worst days recently. today.,negative
I feel confident and motivated. lately.,positive
I feel terrible today. to be honest.,negative
Nothing much happened today. lately.,neutral
Things are stable and unchanged. lately.,neutral
I feel fantastic today! I guess.,positive
I feel supported and appreciated.,positive
I'm sad and losing motivation. to be honest.,negative
Nothing much happened today. honestly.,neutral
Things are improving for me. to be honest.,positive
This is one of the worst days recently. honestly.,negative
I feel confident and motivated. I think.,positive
I feel terrible today. honestly.,negative
It's just a regular day. honestly.,neutral
I'm laughing and smiling a lot today. right now.,positive
This is the best day I've had in a long time. right now.,positive
I feel kind of neutral. right now.,neutral
Nothing much happened today. I guess.,neutral
Things are stable and unchanged. right now.,neutral
Life is good and I'm grateful. today.,positive
I feel ignored and unimportant. honestly.,negative
Everything feels heavy and stressful. today.,negative
This is one of the worst days recently. honestly.,negative
Everything is working out perfectly. I think.,positive
"I'm feeling normal, not too good, not too bad. I guess.",neutral
I'm excited and full of energy. honestly.,positive
Things are improving for me. these days.,positive
Life is good and I'm grateful.,positive
I don't feel strongly about anything right now. at the moment.,neutral
I'm excited and full of energy. today.,positive
Nothing much happened today. honestly.,neutral
I don't feel strongly about anything right now. I think.,neutral
"Today was okay, nothing special. at the moment.",neutral
Things are improving for me. lately.,positive
I'm really happy with how things are going. at the moment.,positive
Life feels really difficult right now. I guess.,negative
I feel fantastic today! lately.,positive
I feel kind of neutral.,neutral
I feel lonely and hopeless. these days.,negative
I'm just going through the day. at the moment.,neutral
I feel supported and appreciated. these days.,positive
I feel anxious and overwhelmed. today.,negative
I feel lonely and hopeless. at the moment.,negative
"Today was okay, nothing special. I think.",neutral
I feel confident and motivated. honestly.,positive
I'm excited and full of energy. these days.,positive
This is one of the worst days recently. at the moment.,negative
I feel fantastic today! right now.,positive
I feel lonely and hopeless. I guess.,negative
I feel kind of neutral. right now.,neutral
Everything feels heavy and stressful. these days.,negative
I'm just going through the day. I guess.,neutral
This is one of the worst days recently. to be honest.,negative
I don't feel strongly about anything right now. honestly.,neutral
"I'm feeling normal, not too good, not too bad. lately.",neutral
Life feels really difficult right now. at the moment.,negative
I'm excited and full of energy. these days.,positive
Life feels really difficult right now. I think.,negative
I feel fantastic today! today.,positive
I feel lonely and hopeless. at the moment.,negative
I feel supported and appreciated. I guess.,positive
I'm excited and full of energy. I guess.,positive
I feel supported and appreciated. right now.,positive
It was an average day for me. today.,neutral
I'm laughing and smiling a lot today. right now.,positive
I feel fantastic today! right now.,positive
I feel confident and motivated. these days.,positive
I feel kind of neutral. at the moment.,neutral
I feel kind of neutral. to be honest.,neutral
Life is good and I'm grateful. right now.,positive
I'm sad and losing motivation. these days.,negative
I feel lonely and hopeless. I guess.,negative
Things are stable and unchanged. lately.,neutral
I don't feel strongly about anything right now. honestly.,neutral
I'm just going through the day. right now.,neutral
I feel anxious and overwhelmed. to be honest.,negative
Nothing much happened today. honestly.,neutral
It's just a regular day. today.,neutral
"Today was okay, nothing special. at the moment.",neutral
I feel confident and motivated. honestly.,positive
I feel confident and motivated.,positive
I feel confident and motivated. right now.,positive
I feel terrible today. lately.,negative
I feel anxious and overwhelmed. honestly.,negative
I'm sad and losing motivation. right now.,negative
This is one of the worst days recently. these days.,negative
I feel kind of neutral. today.,neutral
Nothing much happened today. lately.,neutral
I'm frustrated and tired of everything. to be honest.,negative
I'm just going through the day. today.,neutral
This is one of the worst days recently. lately.,negative
This is the best day I've had in a long time. lately.,positive
This is one of the worst days recently. I guess.,negative
I'm really happy with how things are going. I guess.,positive
It's just a regular day. honestly.,neutral
Things are improving for me. today.,positive
Life feels really difficult right now. honestly.,negative
Nothing much happened today. honestly.,neutral
I'm sad and losing motivation. I think.,negative
I'm excited and full of energy. I think.,positive
This is the best day I've had in a long time. I guess.,positive
I'm frustrated and tired of everything. these days.,negative
Things are stable and unchanged.,neutral
It was an average day for me. right now.,neutral
Life is good and I'm grateful. I guess.,positive
"Today was okay, nothing special. I think.",neutral
This is one of the worst days recently. honestly.,negative
Nothing much happened today. honestly.,neutral
I'm frustrated and tired of everything. to be honest.,negative
It was an average day for me. right now.,neutral
Everything feels heavy and stressful. at the moment.,negative
I feel ignored and unimportant. lately.,negative
I feel confident and motivated. to be honest.,positive
I feel anxious and overwhelmed. honestly.,negative
I feel ignored and unimportant. I guess.,negative
Things are improving for me. at the moment.,positive
This is one of the worst days recently. I guess.,negative
Nothing much happened today. I think.,neutral
I feel supported and appreciated. these days.,positive
I'm laughing and smiling a lot today. these days.,positive
Nothing major on my mind right now. I guess.,neutral
Nothing major on my mind right now. right now.,neutral
This is the best day I've had in a long time. to be honest.,positive
"I'm feeling normal, not too good, not too bad. honestly.",neutral
It's just a regular day. I guess.,neutral
Life is good and I'm grateful. lately.,positive
I'm frustrated and tired of everything.,negative
I feel fantastic today! at the moment.,positive
This is the best day I've had in a long time. I guess.,positive
I feel kind of neutral. honestly.,neutral
Everything is working out perfectly. to be honest.,positive
Things are improving for me. I guess.,positive
Life is good and I'm grateful. lately.,positive
Everything feels heavy and stressful. to be honest.,negative
I feel supported and appreciated. these days.,positive
Nothing major on my mind right now. honestly.,neutral
I feel confident and motivated. lately.,positive
I'm excited and full of energy. honestly.,positive
I feel terrible today. to be honest.,negative
I don't feel strongly about anything right now. lately.,neutral
Everything is working out perfectly. I think.,positive
I feel terrible today. honestly.,negative
I feel lonely and hopeless. these days.,negative
I feel anxious and overwhelmed. right now.,negative
It's just a regular day. to be honest.,neutral
I'm sad and losing motivation. today.,negative
I'm laughing and smiling a lot today. right now.,positive
It's just a regular day. lately.,neutral
I feel anxious and overwhelmed. to be honest.,negative
Everything feels heavy and stressful. I guess.,negative
Everything is working out perfectly. at the moment.,positive
This is one of the worst days recently. I guess.,negative
I'm frustrated and tired of everything. lately.,negative
I feel supported and appreciated. honestly.,positive
It's just a regular day. I think.,neutral
Life is good and I'm grateful. at the moment.,positive
This is one of the worst days recently. to be honest.,negative
I don't feel strongly about anything right now. at the moment.,neutral
Everything feels heavy and stressful. honestly.,negative
It was an average day for me. at the moment.,neutral
I'm sad and losing motivation. I guess.,negative
I feel fantastic today! lately.,positive
I'm really happy with how things are going. I guess.,positive
I don't feel strongly about anything right now. I think.,neutral
Everything feels heavy and stressful. these days.,negative
I don't feel strongly about anything right now. at the moment.,neutral
I feel fantastic today! I think.,positive
This is one of the worst days recently. I guess.,negative
I'm just going through the day. these days.,neutral
I'm excited and full of energy. at the moment.,positive
This is the best day I've had in a long time. at the moment.,positive
I'm laughing and smiling a lot today. these days.,positive
"Today was okay, nothing special.",neutral
I feel kind of neutral. right now.,neutral
"I'm feeling normal, not too good, not too bad. I think.",neutral
I'm laughing and smiling a lot today.,positive
"I'm feeling normal, not too good, not too bad. lately.",neutral
I'm frustrated and tired of everything. honestly.,negative
Nothing much happened today. these days.,neutral
"I'm feeling normal, not too good, not too bad.",neutral
I feel lonely and hopeless. I guess.,negative
Everything is working out perfectly. these days.,positive
Things are stable and unchanged. right now.,neutral
This is the best day I've had in a long time. these days.,positive
Nothing is going right and it's draining. at the moment.,negative
This is one of the worst days recently. honestly.,negative
I feel anxious and overwhelmed. right now.,negative
Nothing major on my mind right now.,neutral
I feel terrible today. right now.,negative
I feel lonely and hopeless. these days.,negative
I'm excited and full of energy. today.,positive
This is one of the worst days recently. these days.,negative
Things are stable and unchanged.,neutral
Nothing major on my mind right now. I think.,neutral
I feel terrible today. right now.,negative
I'm laughing and smiling a lot today. today.,positive
I'm just going through the day. lately.,neutral
I'm frustrated and tired of everything. lately.,negative
I feel fantastic today! today.,positive
"Today was okay, nothing special. I guess.",neutral
Everything feels heavy and stressful. lately.,negative
Nothing is going right and it's draining. to be honest.,negative
"Today was okay, nothing special. honestly.",neutral
I feel terrible today. today.,negative
I feel fantastic today! I guess.,positive
This is one of the worst days recently. honestly.,negative
This is the best day I've had in a long time. these days.,positive
I feel confident and motivated. these days.,positive
I'm really happy with how things are going. at the moment.,positive
Nothing is going right and it's draining.,negative
I feel supported and appreciated. right now.,positive
I feel fantastic today! lately.,positive
I feel anxious and overwhelmed. to be honest.,negative
"I'm feeling normal, not too good, not too bad.",neutral
I'm frustrated and tired of everything. at the moment.,negative
Nothing much happened today. I guess.,neutral
Life feels really difficult right now. these days.,negative
I'm just going through the day. today.,neutral
I'm laughing and smiling a lot today. to be honest.,positive
Nothing major on my mind right now. honestly.,neutral
Everything is working out perfectly. right now.,positive
Nothing much happened today. to be honest.,neutral
"I'm feeling normal, not too good, not too bad. lately.",neutral
Life feels really difficult right now. I think.,negative
It was an average day for me. lately.,neutral
I'm frustrated and tired of everything. today.,negative
Things are improving for me.,positive
Life is good and I'm grateful. honestly.,positive
Everything feels heavy and stressful. at the moment.,negative
Life is good and I'm grateful.,positive
This is the best day I've had in a long time. to be honest.,positive
I'm just going through the day. right now.,neutral
I feel lonely and hopeless. I guess.,negative
I don't feel strongly about anything right now. today.,neutral
Things are stable and unchanged. at the moment.,neutral
I don't feel strongly about anything right now. at the moment.,neutral
Nothing major on my mind right now. to be honest.,neutral
I'm really happy with how things are going. I guess.,positive
I feel fantastic today! I think.,positive
It was an average day for me. to be honest.,neutral
Things are improving for me. lately.,positive
I don't feel strongly about anything right now. right now.,neutral
Nothing much happened today. at the moment.,neutral
I'm sad and losing motivation. today.,negative
"Today was okay, nothing special. today.",neutral
I'm excited and full of energy. to be honest.,positive
This is one of the worst days recently. lately.,negative
This is the best day I've had in a long time.,positive
I feel fantastic today! today.,positive
I feel ignored and unimportant. lately.,negative
I feel confident and motivated. honestly.,positive
Nothing is going right and it's draining.,negative
Life is good and I'm grateful. at the moment.,positive
Things are stable and unchanged. I guess.,neutral
I'm just going through the day. honestly.,neutral
Nothing major on my mind right now.,neutral
I feel anxious and overwhelmed. today.,negative
I'm excited and full of energy. to be honest.,positive
I'm frustrated and tired of everything. lately.,negative
I feel fantastic today! today.,positive
I feel fantastic today! honestly.,positive
I feel ignored and unimportant.,negative
I don't feel strongly about anything right now. right now.,neutral
It was an average day for me. I think.,neutral
I feel ignored and unimportant. I think.,negative
Everything is working out perfectly. honestly.,positive
I feel lonely and hopeless. to be honest.,negative
I'm sad and losing motivation. honestly.,negative
I feel terrible today. today.,negative
I'm sad and losing motivation. to be honest.,negative
I'm laughing and smiling a lot today. at the moment.,positive
Life is good and I'm grateful. to be honest.,positive
It was an average day for me. right now.,neutral
I don't feel strongly about anything right now. I guess.,neutral
Things are stable and unchanged. today.,neutral
I feel supported and appreciated. to be honest.,positive
I'm frustrated and tired of everything. right now.,negative
It was an average day for me. lately.,neutral
I'm excited and full of energy. honestly.,positive
It's just a regular day. lately.,neutral
